Root cause,Insecure optimization behaviors,Security consequences,Security impacts,Unique bug id,Frequency,,,
Implicit specification,Introducing insecure instructions,Introduction of invalid instructions of certain environments,Invention of illegal instructions of certain environments,b-19,1(gcc),,,
Implicit specification,Introducing insecure instructions,Introduction of invalid instructions of certain environments,Invention of illegal instructions of certain environments,l-43,1(linux),,,
Implicit specification,Introducing insecure instructions,Introduction of invalid instructions of certain environments,Invention of illegal instructions of certain environments,b-26,5(gcc) 1(llvm),,,
Implicit specification,Introducing insecure instructions,Introduction of invalid instructions of certain environments,Invention of illegal instructions of certain environments,b-14,2(gcc),,,
Implicit specification,Introducing insecure instructions,Introduction of invalid instructions of certain environments,introduce new data race,l-3,1(linux),,,
Implicit specification,Introducing insecure instructions,Introduction of invalid instructions of certain environments,store/load tearing->data corruption,l-21,3(linux),,,
Implicit specification,Introducing insecure instructions,Introduction of invalid instructions of certain environments,store/load tearing->data corruption,l-49,4(linux),,,
Implicit specification,Introducing insecure instructions,Introduction of invalid instructions of certain environments,eliminate local variable and fetch twice,l-4,3(linux),,,
Implicit specification,Introducing insecure instructions,Introduction of invalid instructions of certain environments,check only performed the first time,l-4a,3(linux),,,
Implicit specification,Introducing insecure instructions,Introduction of invalid instructions of certain environments,merge two aligned store to unaligned one->crash,b-30,1(gcc),106635,,
Implicit specification,Introducing insecure instructions,Introduction of invalid instructions of certain environments,generate optied FP incompatible in stream mode->crash,l-54,1(linux),d6da04b6fbabf4b464bfe29e34ff10c62024d1e4,,
Implicit specification,Introducing insecure instructions,Introduction of insecure logic,logic change->may crash,l-15,1(linux),,,
Implicit specification,Introducing insecure instructions,Introduction of insecure logic,infinite circle call,b-15,1(gcc) 1(llvm),,,
Implicit specification,Introducing insecure instructions,Introduction of insecure logic,kill check,b-7,2(gcc),,,
Implicit specification,Introducing insecure instructions,Introduction of insecure logic,short access->8byte access,l-47,1(linux),,,
Implicit specification,Introducing insecure instructions,Introduction of insecure logic,replace strcpy with 4 bytes read->OOB,b-27,1(gcc),43774,,
Implicit specification,Introducing insecure instructions,Introduction of insecure logic,expand ret value range->BPF test failure,l-50,1(linux),63d78b7e8ca2d0eb8c687a355fa19d01b6fcc723,,
Implicit specification,Introducing insecure instructions,Introduction of insecure logic,promote signed to unsigned,l-51,1(linux),3751c3d34cd5a750c86d1c8eaf217d8faf7f9325,similar to b-7,
Orthogonal specification,Making sensitive data out of bound,Violation of sensitive data's living-time boundary,"scurbbing code remove, info leak",l-9 b-21,15(linux) 1(gcc) 1(llvm),,,
Orthogonal specification,Making sensitive data out of bound,Violation of sensitive data's space(memory) boundary,information of kernel space leaked to user space,l-11,9(linux),,,
Orthogonal specification,Making sensitive data out of bound,Violation of sensitive data's space(memory) boundary,information of kernel space leaked to user space,l-29 b-22,1(linux) 1(gcc) 1(llvm),,,
Orthogonal specification,Breaking timing guarantees,Introduction of the time side channel,information leak by time inference,l-6,6(linux),,,
Orthogonal specification,Breaking timing guarantees,Disordered concurrency sequence due to modification of duration,"loop removed by DCE, synchronization fail",l-37,2(linux),,,
Orthogonal specification,Breaking timing guarantees,Disordered concurrency sequence due to modification of duration,"corrupt timer, synchronization fail",b-31,2(gcc),"34736, 50314",,
Orthogonal specification,Introducing insecure micro-architectural side effect,Introduction of bounds check bypass vulnerability,introduce one risky indirect jump,l-25,2(linux),,,
Orthogonal specification,Introducing insecure micro-architectural side effect,Introduction of bounds check bypass vulnerability,"make ptr temporarily OOB in eBPF, Spectre-V2 attack surface",l-56,1(linux),03d4d13fab3fa75fbcf09bced5e3c8acf1622969,,
