Unique bug id,Cause or Consequence,CWE-ID,Description,CWE-ID,Description,CWE-ID,Description,CWE-ID,Description,CWE-ID,Description
l-23,Consequence,C-1038,Insecure Automated Optimizations,P-435,Improper Interaction Between Multiple Correctly-Behaving Entities,,,,,,
l-18,Consequence,C-1038,Insecure Automated Optimizations,P-435,Improper Interaction Between Multiple Correctly-Behaving Entities,,,,,,
l-41,Consequence,B-733,Compiler Optimization Removal or Modification of Security-critical Code,C-1038,Insecure Automated Optimizations,P-435,Improper Interaction Between Multiple Correctly-Behaving Entities,,,,
l-35,Consequence,B-733,Compiler Optimization Removal or Modification of Security-critical Code,C-1038,Insecure Automated Optimizations,P-435,Improper Interaction Between Multiple Correctly-Behaving Entities,,,,
l-55,Consequence,B-733,Compiler Optimization Removal or Modification of Security-critical Code,C-1038,Insecure Automated Optimizations,P-435,Improper Interaction Between Multiple Correctly-Behaving Entities,,,,
l-49,Consequence,C-1038,Insecure Automated Optimizations,P-435,Improper Interaction Between Multiple Correctly-Behaving Entities,,,,,,
l-3,Consequence,C-1038,Insecure Automated Optimizations,P-435,Improper Interaction Between Multiple Correctly-Behaving Entities,,,,,,
l-21,Consequence,C-1038,Insecure Automated Optimizations,P-435,Improper Interaction Between Multiple Correctly-Behaving Entities,,,,,,
l-4,Consequence,B-367,Time-of-check Time-of-use (TOCTOU) Race Condition,C-362,Concurrent Execution using Shared Resource with Improper Synchronization,C-662,Improper Synchronization,P-664,Improper Control of a Resource Through its Lifetime,,
l-4a,Consequence,B-367,Time-of-check Time-of-use (TOCTOU) Race Condition,C-362,Concurrent Execution using Shared Resource with Improper Synchronization,C-662,Improper Synchronization,P-664,Improper Control of a Resource Through its Lifetime,,
l-9/b-21,Cause,V-14,Compiler Removal of Code to Clear Buffers,B-733,Compiler Optimization Removal or Modification of Security-critical Code,C-1038,Insecure Automated Optimizations,P-435,Improper Interaction Between Multiple Correctly-Behaving Entities,,
l-11,Cause,B-212,Improper Removal of Sensitive Information Before Storage or Transfer,C-669,Incorrect Resource Transfer Between Spheres,P-664,Improper Control of a Resource Through its Lifetime,,,,
l-29/b-22,Cause,B-212,Improper Removal of Sensitive Information Before Storage or Transfer,C-669,Incorrect Resource Transfer Between Spheres,P-664,Improper Control of a Resource Through its Lifetime,,,,
l-6,Consequence,C-1038,Insecure Automated Optimizations,P-435,Improper Interaction Between Multiple Correctly-Behaving Entities,,,,,,
l-37,Consequence,C-1038,Insecure Automated Optimizations,P-435,Improper Interaction Between Multiple Correctly-Behaving Entities,,,,,,
l-25,Cause,B-1342,Information Exposure through Microarchitectural State after Transient Execution,B-226,Sensitive Information in Resource Not Removed Before Reuse,B-212,Improper Removal of Sensitive Information Before Storage or Transfer,C-669,Incorrect Resource Transfer Between Spheres,P-664,Improper Control of a Resource Through its Lifetime
l-56,Cause,B-1342,Information Exposure through Microarchitectural State after Transient Execution,B-226,Sensitive Information in Resource Not Removed Before Reuse,B-212,Improper Removal of Sensitive Information Before Storage or Transfer,C-669,Incorrect Resource Transfer Between Spheres,P-664,Improper Control of a Resource Through its Lifetime
